id,target
0,0
1,1
2,0
3,2
4,2
5,1
6,3
7,2
8,2
9,3
10,1
11,2
12,3
13,1
14,1
15,1
16,3
17,1
18,2
19,2
20,2
21,1
22,3
23,2
24,2
25,1
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,1
35,3
36,2
37,0
38,3
39,2
40,3
41,1
42,2
43,1
44,1
45,3
46,3
47,1
48,2
49,1
50,3
51,1
52,1
53,3
54,0
55,1
56,2
57,2
58,1
59,3
60,1
61,3
62,0
63,1
64,1
65,2
66,1
67,2
68,2
69,1
70,2
71,2
72,2
73,2
74,2
75,3
76,1
77,2
78,2
79,3
80,1
81,3
82,2
83,2
84,3
85,2
86,2
87,3
88,2
89,0
90,1
91,3
92,0
93,0
94,1
95,2
96,3
97,2
98,1
99,1
100,2
101,3
102,3
103,3
104,3
105,0
106,3
107,1
108,2
109,2
110,1
111,2
112,1
113,2
114,1
115,1
116,2
117,2
118,1
119,2
120,3
121,1
122,1
123,1
124,1
125,1
126,3
127,2
128,3
129,3
130,3
131,3
132,3
133,1
134,0
135,1
136,1
137,1
138,1
139,2
140,3
141,1
142,0
143,0
144,1
145,3
146,3
147,0
148,2
149,3
150,2
151,0
152,3
153,1
154,2
155,3
156,3
157,0
158,1
159,3
160,3
161,3
162,3
163,2
164,2
165,3
166,1
167,1
168,3
169,2
170,1
171,3
172,3
173,1
174,1
175,3
176,0
177,2
178,0
179,3
180,1
181,1
182,3
183,1
184,1
185,1
186,2
187,1
188,3
189,2
190,0
191,1
192,1
193,0
194,2
195,3
196,1
197,3
198,3
199,3
200,0
201,1
202,0
203,0
204,1
205,1
206,1
207,2
208,1
209,0
210,2
211,0
212,2
213,3
214,1
215,3
216,1
217,1
218,1
219,0
220,1
221,3
222,2
223,3
224,1
225,3
226,1
227,2
228,2
229,0
230,1
231,1
232,1
233,3
234,3
235,1
236,1
237,1
238,3
239,2
240,2
241,0
242,0
243,2
244,2
245,1
246,3
247,3
248,0
249,2
250,2
251,2
252,3
253,1
254,2
255,2
256,1
257,2
258,2
259,0
260,0
261,2
262,3
263,2
264,2
265,3
266,3
267,0
268,1
269,1
270,3
271,0
272,3
273,0
274,3
275,0
276,1
277,1
278,1
279,3
280,1
281,1
282,1
283,3
284,0
285,1
286,3
287,1
288,1
289,1
290,2
291,2
292,2
293,1
294,2
295,2
296,1
297,0
298,1
299,3
300,1
301,0
302,1
303,1
304,1
305,1
306,1
307,2
308,3
309,2
310,0
311,2
312,3
313,0
314,1
315,0
316,0
317,2
318,2
319,2
320,1
321,3
322,3
323,1
324,0
325,2
326,1
327,2
328,3
329,2
330,1
331,1
332,0
333,2
334,2
335,2
336,3
337,3
338,1
339,1
340,2
341,1
342,1
343,3
344,2
345,3
346,0
347,2
348,1
349,1
350,3
351,2
352,0
353,2
354,1
355,1
356,1
357,1
358,3
359,2
360,3
361,2
362,3
363,1
364,3
365,2
366,0
367,3
368,1
369,1
370,1
371,3
372,1
373,2
374,0
375,3
376,3
377,3
378,2
379,3
380,0
381,0
382,1
383,3
384,0
385,1
386,1
387,3
388,1
389,3
390,1
391,1
392,3
393,2
394,3
395,1
396,3
397,3
398,0
399,1
400,3
401,2
402,1
403,2
404,2
405,3
406,0
407,2
408,1
409,3
410,0
411,3
412,0
413,3
414,0
415,1
416,2
417,1
418,1
419,3
420,1
421,1
422,2
423,3
424,1
425,0
426,2
427,1
428,1
429,2
430,3
431,1
432,2
433,3
434,3
435,0
436,0
437,3
438,0
439,2
440,2
441,2
442,0
443,2
444,1
445,0
446,1
447,1
448,2
449,2
450,2
451,0
452,3
453,3
454,2
455,3
456,3
457,1
458,1
459,3
460,0
461,0
462,1
463,1
464,2
465,3
466,3
467,2
468,2
469,1
470,2
471,2
472,1
473,3
474,2
475,1
476,1
477,1
478,3
479,1
480,0
481,2
482,3
483,2
484,0
485,2
486,1
487,2
488,0
489,3
490,2
491,2
492,2
493,3
494,2
495,1
496,1
497,2
498,1
499,1
500,3
501,3
502,2
503,1
504,2
505,1
506,0
507,1
508,2
509,2
510,3
511,3
512,2
513,1
514,3
515,2
516,3
517,3
518,3
519,1
520,1
521,0
522,1
523,3
524,2
525,0
526,3
527,3
528,3
529,2
530,0
531,2
532,2
533,2
534,1
535,3
536,0
537,3
538,3
539,1
540,2
541,3
542,3
543,1
544,1
545,0
546,3
547,1
548,1
549,3
550,3
551,1
552,2
553,3
554,3
555,2
556,2
557,2
558,0
559,1
560,1
561,2
562,1
563,2
564,2
565,2
566,1
567,2
568,1
569,1
570,1
571,1
572,1
573,2
574,1
575,3
576,2
577,3
578,2
579,1
580,3
581,0
582,3
583,3
584,3
585,1
586,1
587,0
588,3
589,3
590,2
591,2
592,2
593,2
594,2
595,0
596,3
597,3
598,0
599,3
600,2
601,3
602,2
603,2
604,1
605,1
606,1
607,2
608,3
609,1
610,0
611,3
612,3
613,0
614,3
615,0
616,1
617,3
618,1
619,2
620,2
621,1
622,1
623,1
624,2
625,1
626,1
627,0
628,3
629,0
630,1
631,3
632,2
633,2
634,2
635,1
636,3
637,0
638,1
639,2
640,2
641,3
642,3
643,2
644,1
645,2
646,0
647,1
648,3
649,1
650,1
651,3
652,3
653,1
654,0
655,2
656,2
657,2
658,2
659,2
660,2
661,3
662,1
663,1
664,3
665,3
666,1
667,1
668,2
669,2
670,3
671,3
672,1
673,3
674,2
675,2
676,1
677,3
678,3
679,3
680,1
681,2
682,0
683,3
684,2
685,2
686,1
687,2
688,1
689,1
690,1
691,1
692,1
693,2
694,3
695,1
696,2
697,1
698,1
699,3
700,2
701,1
702,3
703,2
704,0
705,1
706,3
707,1
708,2
709,1
710,2
711,1
712,1
713,2
714,2
715,2
716,1
717,1
718,0
719,3
720,2
721,1
722,3
723,2
724,3
725,1
726,1
727,1
728,2
729,3
730,1
731,1
732,2
733,3
734,1
735,2
736,1
737,1
738,1
739,2
740,0
741,2
742,3
743,3
744,2
745,1
746,1
747,1
748,0
749,1
750,1
751,2
752,1
753,3
754,3
755,3
756,3
757,0
758,3
759,2
760,2
761,1
762,0
763,2
764,1
765,1
766,2
767,1
768,3
769,2
770,2
771,2
772,1
773,1
774,1
775,2
776,0
777,1
778,1
779,1
780,2
781,1
782,2
783,2
784,0
785,3
786,1
787,3
788,2
789,2
790,1
791,2
792,1
793,3
794,1
795,3
796,3
797,0
798,1
799,2
800,1
801,1
802,3
803,2
804,2
805,2
806,3
807,1
808,3
809,1
810,0
811,3
812,2
813,2
814,1
815,0
816,2
817,0
818,1
819,2
820,2
821,1
822,2
823,1
824,2
825,2
826,1
827,1
828,0
829,0
830,3
831,1
832,2
833,0
834,3
835,1
836,1
837,2
838,2
839,3
840,3
841,3
842,1
843,1
844,2
845,2
846,0
847,1
848,2
849,1
850,1
851,1
852,1
853,0
854,3
855,1
856,3
857,2
858,3
859,1
860,2
861,0
862,0
863,3
864,0
865,0
866,2
867,2
868,0
869,2
870,1
871,1
872,3
873,2
874,2
875,3
876,1
877,1
878,2
879,3
880,3
881,0
882,2
883,1
884,1
885,2
886,3
887,1
888,1
889,2
890,2
891,3
892,1
893,3
894,1
895,0
896,1
897,1
898,3
899,1
900,0
901,2
902,3
903,2
904,1
905,1
906,1
907,1
908,1
909,2
910,3
911,3
912,1
913,1
914,3
915,0
916,1
917,1
918,2
919,2
920,1
921,1
922,2
923,0
924,2
925,3
926,3
927,3
928,1
929,0
930,2
931,2
932,3
933,1
934,1
935,1
936,1
937,2
938,2
939,2
940,1
941,3
942,2
943,1
944,2
945,3
946,3
947,3
948,3
949,2
950,2
951,1
952,2
953,3
954,0
955,1
956,2
957,3
958,0
959,3
960,3
961,3
962,0
963,3
964,3
965,2
966,0
967,1
968,0
969,2
970,2
971,2
972,3
973,1
974,2
975,1
976,1
977,3
978,1
979,1
980,1
981,3
982,3
983,2
984,3
985,1
986,2
987,1
988,1
989,1
990,1
991,1
992,2
993,1
994,1
995,1
996,1
997,3
998,2
999,3
1000,2
1001,0
1002,2
1003,3
1004,2
1005,1
1006,2
1007,3
1008,0
1009,1
1010,1
1011,0
1012,1
1013,3
1014,3
1015,1
1016,1
1017,2
1018,0
1019,2
1020,3
1021,3
1022,1
1023,2
1024,2
1025,1
1026,2
1027,3
1028,1
1029,2
1030,2
1031,2
1032,1
1033,2
1034,3
1035,3
1036,1
1037,1
1038,1
1039,0
1040,1
1041,3
1042,0
1043,0
1044,2
1045,2
1046,3
1047,3
1048,1
1049,3
1050,0
1051,1
1052,1
1053,2
1054,3
1055,2
1056,3
1057,1
1058,1
1059,3
1060,1
